GCF_002741615.1	Shig_dysenteriae_BU53M1
GCF_002950015.1	Shig_dysenteriae_ATCC_12037
GCF_002949345.1	Shig_dysenteriae_204_96
GCF_002949815.1	Shig_dysenteriae_08-3380
GCF_002949415.1	Shig_dysenteriae_2017C-4522
GCF_002949675.1	Shig_dysenteriae_ATCC_13313
GCF_002949615.1	Shig_dysenteriae_96-265
GCF_000012005.1	Shig_dysenteriae_Sd197
GCF_002949555.1	Shig_dysenteriae_93-119
GCF_002949935.1	Shig_dysenteriae_CFSAN010956
GCF_002943855.1	Shig_dysenteriae_E670_74
GCF_002949755.1	Shig_dysenteriae_07-3308
GCF_002949835.1	Shig_dysenteriae_NCTC_9718
GCF_002949855.1	Shig_dysenteriae_80-547
GCF_002949775.1	Shig_dysenteriae_53-3937
GCF_002950095.1	Shig_dysenteriae_ATCC_49347
GCF_002950055.1	Shig_dysenteriae_ATCC_12039
GCF_002950155.1	Shig_dysenteriae_ATCC_9753
GCF_002950135.1	Shig_boydii_ATCC_49812
GCF_002946735.1	Shig_boydii_ATCC_8700
GCF_002949175.1	Shig_boydii_NCTC_9850
GCF_000012025.1	Shig_boydii_Sb227
GCF_002949455.1	Shig_boydii_54-1621
GCF_001027225.1	Shig_boydii_ATCC_9210
GCF_002950035.1	Shig_boydii_ATCC_35964
GCF_002949535.1	Shig_boydii_83-578
GCF_002950275.1	Shig_boydii_ATCC_BAA-1247
GCF_002949475.1	Shig_boydii_59-248
GCF_000020185.1	Shig_boydii_BS512_CDC_3083-94
GCF_001596115.1	Shig_sp._PAMC_28760
GCF_900659645.1	Shig_flexneri_AUSMDU00008355
GCF_000022245.1	Shig_flexneri_2002017
GCF_002442995.1	Shig_flexneri_Y394
GCF_000743995.1	Shig_flexneri_Shi06HN006
GCF_002240095.1	Shig_flexneri_0702
GCF_001021855.1	Shig_flexneri_G1663
GCF_004171185.1	Shig_flexneri_SFL1520
GCF_900659665.1	Shig_flexneri_AUSMDU00008332
GCF_002946695.1	Shig_flexneri_89-141
GCF_002240135.1	Shig_flexneri_0670
GCF_002240075.1	Shig_flexneri_1602
GCF_000953035.1	Shig_flexneri_GCF_000953035_1
GCF_002950235.1	Shig_flexneri_61-4982
GCF_002741635.1	Shig_flexneri_94-3007
GCF_000006925.2	Shig_flexneri_301
GCF_000007405.1	Shig_flexneri_2457T
GCF_002950255.1	Shig_flexneri_74-1170
GCF_003719775.1	Shig_flexneri_2016AM-0877
GCF_003855135.1	Shig_flexneri_FDAARGOS_535
GCF_002950335.1	Shig_flexneri_NCTC_9728
GCF_004799585.1	Shig_flexneri_M90T
GCF_000013585.1	Shig_flexneri_8401
GCF_001578125.1	Shig_flexneri_0228
GCF_000743955.1	Shig_flexneri_2003036
GCF_000783735.2	Shig_flexneri_FDAARGOS_74
GCF_002949575.1	Shig_flexneri_93-3063
GCF_002949695.1	Shig_flexneri_98-3193
GCF_001580175.1	Shig_flexneri_981
GCF_002950215.1	Shig_flexneri_ATCC_29903
GCF_002949515.1	Shig_flexneri_64-5500
GCF_002949255.1	Shig_flexneri_04-3145
GCF_002174695.2	Shig_flexneri_FC906
GCF_003265245.1	Shig_sonnei_866
GCF_003855115.1	Shig_sonnei_FDAARGOS_524
GCF_003606425.1	Shig_sonnei_AR_0030
GCF_900659655.1	Shig_sonnei_AUSMDU00008333
GCF_001558295.2	Shig_sonnei_FDAARGOS_90
GCF_000833145.1	Esch_coli_BL21_TaKaRa
GCF_000827105.1	Esch_coli_Santai
GCF_005221985.1	Esch_coli_131
GCF_002899515.1	Esch_coli_LIM
GCF_003017555.1	Esch_coli_2015C-3108
GCF_002951855.1	Esch_coli_FHI_NMBU_03
GCF_000800215.1	Esch_coli_ER2796
GCF_001683435.1	Esch_coli_K-15KW01
GCF_900635325.1	Esch_coli_NCTC10444
GCF_004355105.1	Esch_coli_BW25113
GCF_006777085.1	Esch_coli_MSHS_133
GCF_003697165.2	Esch_coli_ATCC_11775
GCF_004011015.1	Esch_coli_E-1246
GCF_000974885.1	Esch_coli_ER3435
GCF_001900655.1	Esch_coli_D4
GCF_004924275.1	Esch_coli_LHM10-1
GCF_000988355.1	Esch_coli_SQ37
GCF_003033905.1	Esch_coli_26561
GCF_003288295.1	Esch_coli_RM9131
GCF_004010575.1	Esch_coli_2009C-3554
GCF_900636795.1	Esch_coli_NCTC9064
GCF_002164975.2	Esch_coli_SCEC020026
GCF_001900315.1	Esch_coli_C4
GCF_005221725.1	Esch_coli_132
GCF_002118095.1	Esch_coli_HST04
GCF_001936315.1	Esch_coli_SLK172
GCF_900497095.1	Esch_coli_EC-TO75
GCF_001901215.1	Esch_coli_M19
GCF_002953795.1	Esch_coli_5FA
GCF_900096795.1	Esch_coli_103
GCF_004564175.1	Esch_coli_103
GCF_001900375.1	Esch_coli_D7
